t,count
1486056052,197584
1486056052,197584
1486056052,197584
1486056052,197584
1486056052,197584
1486056052,197584
1486056052,197584
1486056053,197584
1486056053,197584
1486056053,197584
1486056053,197584
1486056053,197584
1486056053,197584
1486056053,198516
1486056053,198516
1486056053,198516
1486056053,198516
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056054,199448
1486056055,199448
1486056055,200380
1486056055,200380
1486056055,200380
1486056055,200380
1486056055,200380
1486056055,200380
1486056055,200380
1486056055,200380
1486056055,200380
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056056,201312
1486056057,201312
1486056057,201312
1486056057,201312
1486056057,202244
1486056057,202244
1486056057,202244
1486056057,202244
1486056057,202244
1486056057,202244
1486056057,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056058,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056059,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056060,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056061,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056062,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056063,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056064,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056065,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056066,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056067,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056068,202244
1486056069,202244
1486056069,202244
1486056069,202244
1486056069,202244
1486056069,202244
1486056069,204108
1486056069,204108
1486056069,213428
1486056069,213428
1486056069,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056070,214360
1486056071,215292
1486056071,215292
1486056071,215292
1486056071,215292
1486056071,215292
1486056071,215292
1486056071,215292
1486056071,215292
1486056071,216224
1486056071,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,216224
1486056072,217156
1486056073,217156
1486056073,217156
1486056073,217156
1486056073,217156
1486056073,217156
1486056073,217156
1486056073,217156
1486056073,217156
1486056073,218088
1486056073,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,218088
1486056074,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219020
1486056075,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056076,219952
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,220884
1486056077,221816
1486056078,221816
1486056078,221816
1486056078,221816
1486056078,221816
1486056078,221816
1486056078,221816
1486056078,221816
1486056078,221816
1486056078,222748
1486056078,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056079,222748
1486056080,223680
1486056080,223680
1486056080,223680
1486056080,223680
1486056080,223680
1486056080,223680
1486056080,223680
1486056080,223680
1486056080,224612
1486056080,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,224612
1486056081,225544
1486056082,225544
1486056082,225544
1486056082,225544
1486056082,225544
1486056082,225544
1486056082,225544
1486056082,225544
1486056082,225544
1486056082,226476
1486056082,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,226476
1486056083,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,227408
1486056084,228340
1486056085,228340
1486056085,228340
1486056085,228340
1486056085,228340
1486056085,228340
1486056085,228340
1486056085,228340
1486056085,228340
1486056085,229272
1486056085,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,229272
1486056086,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,230204
1486056087,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,231136
1486056088,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056089,232068
1486056090,233000
1486056090,233000
1486056090,233000
1486056090,233000
1486056090,233000
1486056090,233000
1486056090,233000
1486056090,233000
1486056090,233932
1486056090,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,233932
1486056091,234864
1486056092,234864
1486056092,234864
1486056092,234864
1486056092,234864
1486056092,234864
1486056092,234864
1486056092,234864
1486056092,234864
1486056092,235796
1486056092,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,235796
1486056093,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056094,236728
1486056095,237660
1486056095,237660
1486056095,237660
1486056095,237660
1486056095,237660
1486056095,237660
1486056095,237660
1486056095,237660
1486056095,238592
1486056095,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,238592
1486056096,239524
1486056097,239524
1486056097,239524
1486056097,239524
1486056097,239524
1486056097,239524
1486056097,239524
1486056097,239524
1486056097,239524
1486056097,240456
1486056097,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,240456
1486056098,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,241388
1486056099,242320
1486056100,242320
1486056100,242320
1486056100,242320
1486056100,242320
1486056100,242320
1486056100,242320
1486056100,242320
1486056100,242320
1486056100,243252
1486056100,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056101,243252
1486056102,244184
1486056102,244184
1486056102,244184
1486056102,244184
1486056102,244184
1486056102,244184
1486056102,244184
1486056102,244184
1486056102,245116
1486056102,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056103,245116
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246048
1486056104,246980
1486056105,246980
1486056105,246980
1486056105,246980
1486056105,246980
1486056105,246980
1486056105,246980
1486056105,246980
1486056105,246980
1486056105,247912
1486056105,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,247912
1486056106,248844
1486056107,248844
1486056107,248844
1486056107,248844
1486056107,248844
1486056107,248844
1486056107,248844
1486056107,248844
1486056107,248844
1486056107,249776
1486056107,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056108,249776
1486056109,250708
1486056109,250708
1486056109,250708
1486056109,250708
1486056109,250708
1486056109,250708
1486056109,250708
1486056109,250708
1486056109,251640
1486056109,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,251640
1486056110,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,252572
1486056111,253504
1486056112,253504
1486056112,253504
1486056112,253504
1486056112,253504
1486056112,253504
1486056112,253504
1486056112,253504
1486056112,253504
1486056112,254436
1486056112,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056113,254436
1486056114,255368
1486056114,255368
1486056114,255368
1486056114,255368
1486056114,255368
1486056114,255368
1486056114,255368
1486056114,255368
1486056114,256300
1486056114,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056115,256300
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,257232
1486056116,258164
1486056117,258164
1486056117,258164
1486056117,258164
1486056117,258164
1486056117,258164
1486056117,258164
1486056117,258164
1486056117,258164
1486056117,259096
1486056117,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056118,259096
1486056119,259096
1486056119,260028
1486056119,260028
1486056119,260028
1486056119,260028
1486056119,260028
1486056119,260028
1486056119,260028
1486056119,260028
1486056119,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056120,260960
1486056121,260960
1486056121,260960
1486056121,260960
1486056121,261892
1486056121,261892
1486056121,261892
1486056121,261892
1486056121,261892
1486056121,261892
1486056121,261892
1486056122,261892
1486056122,262824
1486056122,262824
1486056122,262824
1486056122,262824
1486056122,262824
1486056122,262824
1486056122,262824
1486056122,262824
1486056122,262824
1486056123,262824
1486056123,263756
1486056123,263756
1486056123,263756
1486056123,263756
1486056123,263756
1486056123,263756
1486056123,263756
1486056123,263756
1486056123,263756
1486056124,263756
1486056124,263756
1486056124,264688
1486056124,264688
1486056124,264688
1486056124,264688
1486056124,264688
1486056124,264688
1486056124,264688
1486056124,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056125,265620
1486056126,265620
1486056126,265620
1486056126,266552
1486056126,266552
1486056126,266552
1486056126,266552
1486056126,266552
1486056126,266552
1486056126,266552
1486056126,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056127,267484
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056128,268416
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,269348
1486056129,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,270280
1486056130,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056131,271212
1486056132,272144
1486056132,272144
1486056132,272144
1486056132,272144
1486056132,272144
1486056132,272144
1486056132,272144
1486056132,272144
1486056132,273076
1486056132,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056133,273076
1486056134,274008
1486056134,274008
1486056134,274008
1486056134,274008
1486056134,274008
1486056134,274008
1486056134,274008
1486056134,274008
1486056134,274940
1486056134,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056135,274940
1486056136,275872
1486056136,275872
